Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020,opcashflw_2023,opcashflw_2022,opcashflw_2021,total_assets_2023,total_assets_2022,total_assets_2021,equity_2023,equity_2022,equity_2021,liability_2023,liability_2022,liability_2021
AAB.TO,Aberdeen International Inc.,Financial Services,-8762676.0,9139536.0,5628492.0,-2609555.0,689969.0,-1139027.0,30414722.0,43095945.0,34234649.0,28782235.0,40765369.0,32377884.0,28782235.0,40765369.0,32377884.0
ADN.TO,Acadian Timber Corp.,Basic Materials,90473000.0,95729000.0,91031000.0,15235000.0,16229000.0,20617000.0,547836000.0,516642000.0,513398000.0,303723000.0,291485000.0,293240000.0,303723000.0,291485000.0,293240000.0
ACD.TO,Accord Financial Corp.,Financial Services,43403627.0,47593755.0,33904916.0,31507257.0,-101646734.0,23370653.0,491761230.0,520108716.0,384912638.0,106612140.0,103959649.0,93759124.0,106612140.0,103959649.0,93759124.0
ARA.TO,Aclara Resources Inc.,Basic Materials,0.0,0.0,0.0,-8441000.0,-4024000.0,2511000.0,156817000.0,164817000.0,75162000.0,153187000.0,161767000.0,69130000.0,153187000.0,161767000.0,69130000.0
ADCO.TO,Adcore Inc.,Technology,19693000.0,27966000.0,16997000.0,-2547000.0,-1436000.0,5524000.0,14543000.0,17284000.0,12736000.0,9734000.0,12195000.0,6885000.0,9734000.0,12195000.0,6885000.0
ADEN.TO,ADENTRA Inc.,Industrials,2579568000.0,1616199000.0,928438000.0,210685000.0,-65418000.0,61028000.0,1428974000.0,1114924000.0,460223000.0,506972000.0,414032000.0,239826000.0,506972000.0,414032000.0,239826000.0
DRX.TO,ADF Group Inc.,Industrials,250890000.0,280740000.0,172593000.0,-2612000.0,2669000.0,28842000.0,271617000.0,201050000.0,189951000.0,124985000.0,108450000.0,99565000.0,124985000.0,108450000.0,99565000.0
AAV.TO,Advantage Energy Ltd.,Energy,964366000.0,492035000.0,245085000.0,502378000.0,223152000.0,100714000.0,2216958000.0,1994990000.0,1533709000.0,1564678000.0,1460118000.0,1040160000.0,1564678000.0,1460118000.0,1040160000.0
ARE.TO,Aecon Group Inc.,Industrials,4696450000.0,3977322000.0,3643618000.0,-112861000.0,-31410000.0,272958000.0,3567017000.0,3286817000.0,3287399000.0,953995000.0,913566000.0,874107000.0,953995000.0,913566000.0,874107000.0
AEG.TO,Aegis Brands Inc.,Consumer Cyclical,15159000.0,10876000.0,9428000.0,-734000.0,-3976000.0,-716000.0,73880000.0,20320000.0,102657000.0,7045000.0,7903000.0,15409000.0,7045000.0,7903000.0,15409000.0
AEZS.TO,Aeterna Zentaris Inc.,Healthcare,5640000.0,5260000.0,3652000.0,-13680000.0,-8581000.0,-4129000.0,56026000.0,80102000.0,37005000.0,35776000.0,52986000.0,13211000.0,35776000.0,52986000.0,13211000.0
AOI.TO,Africa Oil Corp.,Energy,0.0,0.0,0.0,-16300000.0,-10800000.0,-5348000.0,917700000.0,991600000.0,910499000.0,830600000.0,948000000.0,754287000.0,830600000.0,948000000.0,754287000.0
