Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
AAB.TO,Aberdeen International Inc.,Financial Services,-8762676.0,9139536.0,5628492.0
ADN.TO,Acadian Timber Corp.,Basic Materials,90473000.0,95729000.0,91031000.0
ACD.TO,Accord Financial Corp.,Financial Services,43403627.0,47593755.0,33904916.0
ARA.TO,Aclara Resources Inc.,Basic Materials,0.0,0.0,0.0
ADCO.TO,Adcore Inc.,Technology,19693000.0,27966000.0,16997000.0
ADEN.TO,ADENTRA Inc.,Industrials,2579568000.0,1616199000.0,928438000.0
DRX.TO,ADF Group Inc.,Industrials,250890000.0,280740000.0,172593000.0
AAV.TO,Advantage Energy Ltd.,Energy,964366000.0,492035000.0,245085000.0
ARE.TO,Aecon Group Inc.,Industrials,4696450000.0,3977322000.0,3643618000.0
AEG.TO,Aegis Brands Inc.,Consumer Cyclical,15159000.0,10876000.0,9428000.0
AEZS.TO,Aeterna Zentaris Inc.,Healthcare,5640000.0,5260000.0,3652000.0
AOI.TO,Africa Oil Corp.,Energy,0.0,0.0,0.0
AFN.TO,Ag Growth International Inc.,Industrials,1458082000.0,1198523000.0,1000130000.0
AGF-B.TO,AGF Management Limited,Financial Services,446064000.0,445435000.0,446961000.0
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,5741162000.0,3869625000.0,3138113000.0
AIM.TO,Aimia Inc.,Financial Services,476500000.0,12600000.0,14300000.0
AC.TO,Air Canada,Industrials,16556000000.0,6400000000.0,5833000000.0
BOS.TO,AirBoss of America Corp.,Basic Materials,477155000.0,586858000.0,501572000.0
AKT-A.TO,AKITA Drilling Ltd.,Energy,200996000.0,110088000.0,119664000.0
AKU.TO,Akumin Inc.,Healthcare,749631000.0,421079000.0,245626000.0
AGI.TO,Alamos Gold Inc.,Basic Materials,821200000.0,823600000.0,748100000.0
ALC.TO,Algoma Central Corporation,Industrials,677942000.0,598873000.0,545660000.0
ASTL.TO,Algoma Steel Group Inc.,Basic Materials,2778500000.0,3806000000.0,1794900000.0
AQN.TO,Algonquin Power & Utilities Corp.,Utilities,2765155000.0,2274142000.0,1676991000.0
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,71856700000.0,62809900000.0,45760100000.0
ALYA.TO,Alithya Group Inc.,Technology,522701000.0,437885000.0,287643000.0
AAUC.TO,Allied Gold Corporation,Basic Materials,N/A,N/A,N/A
AMM.TO,Almaden Minerals Ltd.,Basic Materials,0.0,0.0,0.0
AII.TO,Almonty Industries Inc.,Basic Materials,24796000.0,20847000.0,25095000.0
ATCU.TO,Alta Copper Corp.,Basic Materials,0.0,0.0,0.0
ALA.TO,AltaGas Ltd.,Energy,14087000000.0,10573000000.0,5587000000.0
ALS.TO,Altius Minerals Corporation,Basic Materials,101958000.0,81210000.0,59987000.0
ARR.TO,Altius Renewable Royalties Corp.,Utilities,781400.0,81600.0,165600.0
AIF.TO,Altus Group Limited,Real Estate,735451000.0,625387000.0,561156000.0
HOT-UN.TO,American Hotel Income Properties REIT LP,Real Estate,281367000.0,241307000.0,174855000.0
USA.TO,Americas Gold and Silver Corporation,Basic Materials,85016000.0,45051000.0,27883000.0
ARG.TO,Amerigo Resources Ltd.,Basic Materials,264192000.0,300577000.0,178379000.0
ANRG.TO,Anaergia Inc.,Industrials,162853000.0,129873000.0,128042000.0
AND.TO,Andlauer Healthcare Group Inc.,Industrials,648423000.0,440115000.0,314340000.0
ADW-A.TO,Andrew Peller Limited,Consumer Defensive,382140000.0,373944000.0,393036000.0
ATE.TO,Antibe Therapeutics Inc.,Healthcare,0.0,0.0,0.0
APLI.TO,Appili Therapeutics Inc.,Healthcare,334177.0,1390684.0,0.0
APS.TO,Aptose Biosciences Inc.,Healthcare,0.0,0.0,0.0
ARX.TO,ARC Resources Ltd.,Energy,9850400000.0,5511500000.0,1173200000.0
AR.TO,Argonaut Gold Inc.,Basic Materials,388341000.0,436911000.0,319692000.0
ARIS.TO,Aris Mining Corporation,Basic Materials,399963000.0,382611000.0,390921000.0
ATZ.TO,Aritzia Inc.,Consumer Cyclical,2195630000.0,1494630000.0,857323000.0
AMC.TO,Arizona Metals Corp.,Basic Materials,0.0,0.0,0.0
ASCU.TO,Arizona Sonoran Copper Company Inc.,Basic Materials,0.0,0.0,0.0
ACAA.TO,Arrow Canadian Advantage Alternative Class,Exchange Traded Fund,N/A,N/A,N/A
ASND.TO,Ascendant Resources Inc.,Basic Materials,0.0,0.0,0.0
AOT.TO,Ascot Resources Ltd.,Basic Materials,0.0,0.0,0.0
ACO-X.TO,ATCO Ltd.,Utilities,4978000000.0,4289000000.0,3944000000.0
ATH.TO,Athabasca Oil Corporation,Energy,1504685000.0,1016323000.0,464648000.0
AI.TO,Atrium Mortgage Investment Corporation,Financial Services,50126000.0,44464000.0,44358000.0
ATS.TO,ATS Corporation,Industrials,2577384000.0,2182717000.0,1430052000.0
G.TO,Augusta Gold Corp.,Basic Materials,0.0,0.0,0.0
ORA.TO,Aura Minerals Inc.,Basic Materials,392699000.0,424006000.0,299874000.0
ACB.TO,Aurora Cannabis Inc.,Healthcare,221339000.0,245252000.0,268703000.0
ACQ.TO,AutoCanada Inc.,Consumer Cyclical,6040619000.0,4653415000.0,3329494000.0
XLY.TO,Auxly Cannabis Group Inc.,Healthcare,94472000.0,83829000.0,46719000.0
AVNT.TO,Avant Brands Inc.,Healthcare,20149000.0,9499000.0,7907000.0
AVCN.TO,Avicanna Inc.,Healthcare,4047881.0,3268906.0,1570060.0
ASM.TO,Avino Silver & Gold Mines Ltd.,Basic Materials,44187000.0,11228000.0,16022000.0
AXIS.TO,Axis Auto Finance Inc.,Financial Services,40595207.0,40163349.0,38368588.0
AYA.TO,Aya Gold & Silver Inc.,Basic Materials,38244921.0,34301914.0,13822709.0
ABX.TO,Barrick Gold Corporation,Basic Materials,11013000000.0,11985000000.0,12595000000.0
AUMN.TO,Golden Minerals Company,Basic Materials,23285000.0,25596000.0,5637000.0
