Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
AAB.TO,Aberdeen International Inc.,Financial Services,-8.762676000000001e-12,9.139535999999999e-12,5.6284919999999995e-12
ADN.TO,Acadian Timber Corp.,Basic Materials,9.0473e-11,9.5729e-11,9.1031e-11
ACD.TO,Accord Financial Corp.,Financial Services,4.3403627e-11,4.7593755000000003e-11,3.3904916e-11
ARA.TO,Aclara Resources Inc.,Basic Materials,0.0,0.0,0.0
ADCO.TO,Adcore Inc.,Technology,1.9693000000000002e-11,2.7966e-11,1.6997e-11
ADEN.TO,ADENTRA Inc.,Industrials,2.579568e-09,1.616199e-09,9.284379999999999e-10
DRX.TO,ADF Group Inc.,Industrials,2.5089e-10,2.8074e-10,1.72593e-10
AAV.TO,Advantage Energy Ltd.,Energy,9.64366e-10,4.92035e-10,2.4508500000000004e-10
ARE.TO,Aecon Group Inc.,Industrials,4.69645e-09,3.977322e-09,3.643618e-09
AEG.TO,Aegis Brands Inc.,Consumer Cyclical,1.5159e-11,1.0875999999999998e-11,9.428e-12
AEZS.TO,Aeterna Zentaris Inc.,Healthcare,5.639999999999999e-12,5.26e-12,3.652e-12
AOI.TO,Africa Oil Corp.,Energy,0.0,0.0,0.0
AFN.TO,Ag Growth International Inc.,Industrials,1.458082e-09,1.198523e-09,1.00013e-09
AGF-B.TO,AGF Management Limited,Financial Services,4.4606400000000004e-10,4.4543499999999997e-10,4.46961e-10
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,5.741162e-09,3.869625e-09,3.1381129999999997e-09
AIM.TO,Aimia Inc.,Financial Services,4.765e-10,1.26e-11,1.43e-11
AC.TO,Air Canada,Industrials,1.6556000000000003e-08,6.4e-09,5.833e-09
BOS.TO,AirBoss of America Corp.,Basic Materials,4.77155e-10,5.86858e-10,5.015720000000001e-10
AKT-A.TO,AKITA Drilling Ltd.,Energy,2.00996e-10,1.1008799999999999e-10,1.1966399999999999e-10
AKU.TO,Akumin Inc.,Healthcare,7.496309999999999e-10,4.21079e-10,2.45626e-10
AGI.TO,Alamos Gold Inc.,Basic Materials,8.212e-10,8.236e-10,7.481e-10
ALC.TO,Algoma Central Corporation,Industrials,6.77942e-10,5.98873e-10,5.4566e-10
ASTL.TO,Algoma Steel Group Inc.,Basic Materials,2.7785000000000003e-09,3.806e-09,1.7949e-09
AQN.TO,Algonquin Power & Utilities Corp.,Utilities,2.765155e-09,2.274142e-09,1.6769910000000001e-09
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,7.185669999999999e-08,6.28099e-08,4.57601e-08
ALYA.TO,Alithya Group Inc.,Technology,5.22701e-10,4.37885e-10,2.87643e-10
AAUC.TO,Allied Gold Corporation,Basic Materials,,,
AMM.TO,Almaden Minerals Ltd.,Basic Materials,0.0,0.0,0.0
AII.TO,Almonty Industries Inc.,Basic Materials,2.4796e-11,2.0847e-11,2.5095e-11
ATCU.TO,Alta Copper Corp.,Basic Materials,0.0,0.0,0.0
ALA.TO,AltaGas Ltd.,Energy,1.4087e-08,1.0573000000000001e-08,5.587e-09
ALS.TO,Altius Minerals Corporation,Basic Materials,1.01958e-10,8.120999999999998e-11,5.9987e-11
ARR.TO,Altius Renewable Royalties Corp.,Utilities,7.814e-13,8.16e-14,1.656e-13
AIF.TO,Altus Group Limited,Real Estate,7.35451e-10,6.253869999999999e-10,5.611559999999999e-10
HOT-UN.TO,American Hotel Income Properties REIT LP,Real Estate,2.81367e-10,2.41307e-10,1.74855e-10
USA.TO,Americas Gold and Silver Corporation,Basic Materials,8.5016e-11,4.5051e-11,2.7883e-11
ARG.TO,Amerigo Resources Ltd.,Basic Materials,2.64192e-10,3.00577e-10,1.78379e-10
ANRG.TO,Anaergia Inc.,Industrials,1.62853e-10,1.2987299999999999e-10,1.28042e-10
AND.TO,Andlauer Healthcare Group Inc.,Industrials,6.484229999999999e-10,4.40115e-10,3.1433999999999997e-10
ADW-A.TO,Andrew Peller Limited,Consumer Defensive,3.8214e-10,3.7394400000000004e-10,3.93036e-10
ATE.TO,Antibe Therapeutics Inc.,Healthcare,0.0,0.0,0.0
APLI.TO,Appili Therapeutics Inc.,Healthcare,3.3417700000000003e-13,1.390684e-12,0.0
APS.TO,Aptose Biosciences Inc.,Healthcare,0.0,0.0,0.0
ARX.TO,ARC Resources Ltd.,Energy,9.8504e-09,5.5115e-09,1.1732e-09
AR.TO,Argonaut Gold Inc.,Basic Materials,3.88341e-10,4.36911e-10,3.1969200000000003e-10
ARIS.TO,Aris Mining Corporation,Basic Materials,3.99963e-10,3.82611e-10,3.90921e-10
ATZ.TO,Aritzia Inc.,Consumer Cyclical,2.19563e-09,1.49463e-09,8.57323e-10
AMC.TO,Arizona Metals Corp.,Basic Materials,0.0,0.0,0.0
ASCU.TO,Arizona Sonoran Copper Company Inc.,Basic Materials,0.0,0.0,0.0
ACAA.TO,Arrow Canadian Advantage Alternative Class,Exchange Traded Fund,,,
ASND.TO,Ascendant Resources Inc.,Basic Materials,0.0,0.0,0.0
AOT.TO,Ascot Resources Ltd.,Basic Materials,0.0,0.0,0.0
ACO-X.TO,ATCO Ltd.,Utilities,4.978e-09,4.289e-09,3.944e-09
ATH.TO,Athabasca Oil Corporation,Energy,1.504685e-09,1.016323e-09,4.6464800000000003e-10
AI.TO,Atrium Mortgage Investment Corporation,Financial Services,5.0126000000000004e-11,4.4464e-11,4.4358e-11
ATS.TO,ATS Corporation,Industrials,2.5773839999999997e-09,2.1827170000000004e-09,1.4300519999999999e-09
G.TO,Augusta Gold Corp.,Basic Materials,0.0,0.0,0.0
ORA.TO,Aura Minerals Inc.,Basic Materials,3.92699e-10,4.24006e-10,2.9987400000000005e-10
ACB.TO,Aurora Cannabis Inc.,Healthcare,2.21339e-10,2.45252e-10,2.68703e-10
ACQ.TO,AutoCanada Inc.,Consumer Cyclical,6.0406189999999994e-09,4.653415e-09,3.3294940000000003e-09
XLY.TO,Auxly Cannabis Group Inc.,Healthcare,9.4472e-11,8.3829e-11,4.6719000000000006e-11
AVNT.TO,Avant Brands Inc.,Healthcare,2.0149e-11,9.499e-12,7.907e-12
AVCN.TO,Avicanna Inc.,Healthcare,4.0478810000000005e-12,3.2689059999999998e-12,1.5700599999999999e-12
ASM.TO,Avino Silver & Gold Mines Ltd.,Basic Materials,4.4187e-11,1.1228e-11,1.6022e-11
AXIS.TO,Axis Auto Finance Inc.,Financial Services,4.0595207e-11,4.0163348999999995e-11,3.8368588000000005e-11
AYA.TO,Aya Gold & Silver Inc.,Basic Materials,3.8244921e-11,3.4301913999999994e-11,1.3822709e-11
